TF | No. de genes que regula | Genes regulados | + | -
MarA | 60 | aldA, dapD, lpxC, fumC, lpxL, lacA, lacY, lacZ, map, fpr, nfo, poxB, purA, putA, rimK, sodA, tolC, xseA, ygiB, ygiC, zwf, nfsA, acnA, rob, hdeA, hdeB, yhiD, glnD, inaA, waaY, waaZ, marA, marR, marB, acrA, acrB, dctR, slp, pbpG, mdaB, mlaD, mlaE, mlaF, ybjC, micF, nfsB, decR, acrZ, ybjN, pqiA, pqiB, pqiC, ycgZ, ymgA, ariR, ymgC, yncE, yhbW, mlaB, mlaC | 49 | 11
StpA | 21 | bglB, bglF, bglG, leuO, malE, malF, malG, proV, proW, proX, fau, stpA, cas2, ssrS, malH, cas1, casE, casD, casC, casB, casA | 11 | 10
DecR | 2 | cyuP, cyuA | 2 | 0
CadC | 3 | cadA, cadB, cadC | 3 | 0
GalR | 6 | galR, galS, mglA, mglB, mglC, galP | 0 | 6
FhlA | 30 | fdhF, fhlA, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hypA, hypB, hypC, hypD, hypE, hyfA, hyfB, hypF, hydN, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, focB, hycI | 30 | 0
MazEF | 3 | mazE, mazG, mazF | 0 | 3
HipAB | 5 | hipB, hipA, mazE, relA, mazF | 0 | 5
MurR | 2 | murQ, murP | 0 | 2
NarL | 119 | dcuB, cydC, adhE, aspA, moeA, moeB, cysG, dmsA, dmsB, dmsC, fdhF, frdA, frdB, frdC, frdD, fumB, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, narG, narH, narI, narJ, narK, nirB, nirC, nirD, ogt, pflB, poxB, ompW, dcuA, fdnG, fdnH, fdnI, focA, ubiC, ubiA, cydD, nikR, nuoM, nuoF, hybA, hybB, hybC, hybD, hybE, hybF, hybG, torA, torC, ccmH, ccmG, ccmF, ccmE, ccmC, ccmB, ccmA, napC, napB, napH, napG, napA, napF, nikA, nikB, nikC, nikD, nikE, nuoA, nuoB, nuoC, nuoE, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoN, napD, ccmD, torD, norW, narS, aspX, caiF, citG, citX, citF, citE, citD, citC, dpiB, dpiA, hcr, hcp, ydeP, ynfE, ynfF, ynfG, ynfH, dmsD, ydhT, ydhU, ydhX, ydhW, ydhV, ydhY, yoaG, yeaR, norV, hybO, dcuR, dcuS, ytfE | 38 | 81
HipB | 8 | hipB, hipA, mazE, relA, mazF, fadH, eutA, eutH | 0 | 8
BluR | 4 | ycgZ, ymgA, ariR, ymgC | 0 | 4
YgiV | 1 | mcbR | 0 | 1
MraZ | 18 | ddlB, lpxC, ftsA, ftsI, ftsQ, ftsW, ftsZ, mraY, murC, murD, murE, murF, murG, mraZ, rsmH, ftsL, mioC, ftsO | 0 | 18
IclR | 4 | aceA, aceB, aceK, iclR | 0 | 4
FadR | 23 | accD, fabA, fabB, accB, accC, fabH, fadA, fadB, fadL, fadR, iclR, fabD, fabG, uspA, fabI, fadD, accA, sroD, fadH, fadE, fadM, fadJ, fadI | 12 | 11
HdfR | 6 | flhC, flhD, gltB, gltD, maoP, gltF | 4 | 2
OmpR | 56 | bolA, cadA, cadB, cadC, fadL, flhC, flhD, htpX, lpp, malE, narV, narW, narY, narZ, nmpC, ompC, potE, speF, tolC, pdhR, tsgA, rob, sra, nuoN, feoA, feoB, acrR, ompX, rhtA, galP, narU, sstT, feoC, micF, speFL, omrA, omrB, ecnB, fadE, gmhA, copA, csgI, pgaD, pgaC, pgaB, pgaA, csgG, csgF, csgE, csgD, dtpA, yobB, exoX, znuA, queE, alx | 29 | 27
GlaR | 120 | apt, aroB, aroP, cadC, cysN, cysS, fhuE, gabT, gdhA, zraR, kdsA, mglA, mrdA, murD, nlpA, pdxA, ppiB, priC, rhsD, rpsF, tar, pdhR, ttdA, yidB, gabD, gabP, ppx, inaA, yigG, gltF, smg, baeS, phoH, chaA, gcvA, rpiB, yihD, yihM, kdgT, tehA, dctR, htrE, yehD, yehE, yehS, rssB, idnK, hinT, gadW, gadX, yadN, lhgD, chaB, chaC, rfbB, prmC, yfjD, yfiL, sgcC, ttdR, ygjI, ybaN, dgcN, yjdP, dinQ, ldcC, elfC, ycbU, ycbV, csgI, yccU, bssS, pdeG, ycgJ, pliG, ycgY, ycgV, ychQ, yciU, ycjP, ynaE, ydcK, ydeO, safA, lsrG, tam, ydfI, ydfK, ydhS, ynjH, yeaE, yobD, yodB, yfbN, yfbO, hxpA, yfbU, yfcO, yfcV, yfdC, yfdV, oxc, ypdC, yfiR, ypjA, glaH, alaE, casA, yqhC, ygiV, ygiW, yhcD, rsgA, orn, yjfY, bdcA, bdcR, idnD, yjjP, yjjQ | 44 | 76
HyfR | 12 | hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, focB | 12 | 0
